12,0
51,0
12,0
51,0
12,0
51,0
12,0
55,0
12,0
51,0
51,0
12,0
12,0
12,0
12,0
54,55
12,0
12,0
12,0
51,0
12,0
12,0
12,0
12,0
51,0
12,0
12,0
51,0
12,0
51,0
48,51
12,0
12,0
12,0
51,0
51,0
51,0
12,0
48,0
51,0
51,0
12,0
12,51
51,0
4,0
48,51
12,0
12,0
12,0
51,0
12,0
51,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
51,0
51,0
51,0
12,0
54,0
51,0
12,0
51,0
12,0
54,0
51,0
51,0
51,0
12,0
12,0
12,0
12,0
12,0
12,0
51,0
12,0
12,0
12,0
12,0
12,0
51,0
12,0
51,0
12,0
12,0
51,0
12,0
51,0
51,0
12,0
12,0
12,0
55,0
12,0
51,0
51,0
